condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
RPL41,46.0,2000.0,2000.0,0.9748260365921352,0.9049924827481208,-0.1188313586053916,-0.1061840876256599,0.9480034671723844,0.019291671593263,1.3381809101944724,0.239738421169063,0.514057903746549,2
RPLP2,188.0,2000.0,2000.0,0.9891544524797404,0.9608510117127532,0.615778667086192,0.5028178243930127,0.9771551825106144,0.0081037232224015,0.6922798373437886,0.1283680379933261,0.1882645776471884,2
RPP14,53.0,2000.0,2000.0,0.995162027921676,0.956449323612331,0.7391908917238516,0.5028692631558918,0.9900745870545506,0.0033622994738404,1.2382841734471244,0.1843189116747853,0.3916293923351339,2
RPS3,243.0,2000.0,2000.0,0.9801599804193334,0.9360504420126108,0.1719424192449962,0.1317434819358704,0.9497622065246104,0.0161357117199262,0.7681157195516738,0.1471475098825958,0.2858903397893227,2
RPS5,126.0,2000.0,2000.0,0.9971070046315448,0.9813972514673368,0.9317902873978492,0.8450764212691054,0.9941013534553348,0.0018889483175378,0.8443237085952439,0.1460045298931224,0.2265095434827485,2
RPUSD3,158.0,2000.0,2000.0,0.9910958401090856,0.965515831378958,-0.1014363393939847,0.0011873342968335,0.9794138427823782,0.0076453456674276,0.7066263910194698,0.1244305975967134,0.1917086920421513,2
RRS1,64.0,2000.0,2000.0,0.990069698290391,0.9479793239948312,0.5098931868952613,0.3938310489577622,0.9800778850913048,0.0068976836552444,1.0831779684775742,0.1872023828931363,0.3616083429501655,2
RUVBL1,192.0,2000.0,2000.0,0.9746150104944652,0.8878061054515262,0.1705247658055711,0.1374717973679493,0.9437253251671792,0.0185403085937621,0.9597851168347536,0.178397807316916,0.3620361447878439,3
SAP18,51.0,2000.0,2000.0,0.9899822717145208,0.9492371538092887,0.0178088384132494,-0.0048131982032995,0.9781348574906588,0.0075676806811406,1.2501152523146428,0.1939633763946316,0.4034936226074614,3
SEC61B,78.0,2000.0,2000.0,0.9963801047542512,0.9692066779151216,0.1795121813404299,0.0580608475152118,0.9926200001500548,0.0027898421033244,1.0441491520903476,0.2259995421899465,0.366608399063116,3
SEPHS2,138.0,2000.0,2000.0,0.9978774306948242,0.9800032505008128,0.0648737651108468,0.0500741150185287,0.9957009325735272,0.001583688219101,0.7842275605169831,0.1752000165577827,0.2330001095175261,3
SLBP,68.0,2000.0,2000.0,0.9744226522764308,0.9164775011193756,-0.1331150401012164,-0.0621741223168458,0.9491661451756954,0.0185800606970585,1.103120468789683,0.2002947229324791,0.4141391589386851,3
SMC1A,166.0,2000.0,2000.0,0.9842802466868364,0.9359166929791732,0.7136214699944432,0.5840413492293528,0.9670304171741008,0.0111089538796366,0.9558484346197004,0.1876751176624558,0.3144539638741525,3
SNF8,129.0,2000.0,2000.0,0.9945685042416024,0.9606421471605364,-0.0540510623198821,-0.0393923348924001,0.9889726042747498,0.0040924526984559,0.7755827312338213,0.1417437243664046,0.2065406487834971,3
SRPRB,153.0,2000.0,2000.0,0.996553172882072,0.9729382532345632,0.2579265046863325,0.175663728415932,0.992946072947234,0.0025617434324905,0.8284610319668786,0.1793023004225303,0.2527093345815462,3
SRSF7,101.0,2000.0,2000.0,0.9894407748972608,0.947454335863584,0.1960393686989071,0.1423004231284684,0.97888121008873,0.0078059176823875,0.9582883256131616,0.188276457042743,0.2954226053127503,3
STRAP,100.0,2000.0,2000.0,0.9901832954841776,0.9517860039465006,0.1624700577641542,0.1094463513615878,0.979393845424056,0.0076320983873298,0.8950683493732662,0.1766365630467354,0.2868949152145308,3
SUGP1,146.0,2000.0,2000.0,0.9930090226794676,0.9626842626710652,0.0893861110036697,0.0440748410187102,0.9858438661321998,0.0052939882944403,0.7815976663015466,0.1519748207561534,0.2343355838497154,3
SUPT4H1,55.0,2000.0,2000.0,0.9908678788071243,0.9394646887753688,0.3462129900439673,0.2437554159388539,0.981473483145237,0.0065204070526534,1.2733438857300714,0.2115923923014331,0.4337992948054763,3
SYS1,58.0,2000.0,2000.0,0.9958731773735044,0.9621931929091208,0.2473230865064088,0.1889803432450858,0.9916824316605926,0.0030482489646551,1.1650184930821426,0.2042011310256721,0.3854097565729006,3
TBL3,70.0,2000.0,2000.0,0.9958481344442718,0.9666885451721362,0.7845747269755519,0.5544411891102973,0.991643661633134,0.0028238074744056,1.1636219549576778,0.197557656264337,0.3750065266838067,3
TFAM,78.0,2000.0,2000.0,0.9953378279548402,0.967083489270872,0.4865436672634873,0.0251644217911054,0.9905068799853324,0.0034603973852749,1.0622883936421217,0.2014363558800283,0.3465228337125886,3
TIPIN,100.0,2000.0,2000.0,0.9972500775434736,0.9772745653186412,0.2995979411506312,0.217971928406461,0.9943199432455004,0.0020940059229475,0.855588361659497,0.1731830438534675,0.2601229946197881,3
TPRKB,34.0,2000.0,2000.0,0.9927461399999232,0.9374988287809553,0.1911825169087037,0.1512471393117848,0.9854126870632172,0.0053650738117484,1.5104016648504663,0.2011934179349691,0.5131111631519447,3
TPX2,289.0,2000.0,2000.0,0.9951711766481144,0.9775510603877656,0.1184116001542699,0.1505492656373164,0.9892786499112844,0.0036837156672681,0.6246736220033242,0.0885341530229985,0.1383863581702149,3
TSG101,83.0,2000.0,2000.0,0.9842976295773884,0.9259266754816692,0.5198552264852926,0.4208387072096768,0.96870044618845,0.0110465261010763,1.1253208087117428,0.1997350681082847,0.3815982331063198,3
TXN,79.0,2000.0,2000.0,0.9917061587366152,0.9582652285663076,0.2815434587133692,0.2080557700139425,0.9827093463391066,0.0061272558425509,0.968776061582378,0.1763519341535857,0.3015110028663952,3
UBA3,94.0,2000.0,2000.0,0.994366236640206,0.969208845802212,-0.0622465428907185,-0.0524367746091936,0.9882501494139432,0.004357399937365,0.9691728584799536,0.2008961325893986,0.315632150144464,3
UBQLN4,145.0,2000.0,2000.0,0.994676238994316,0.9684268697198776,0.3053474397648261,0.2717411014352753,0.989105056039989,0.003910967231947,0.7863961731108262,0.1296851848832469,0.2030518288290443,3
UBR5,35.0,2000.0,2000.0,0.9926162559716184,0.9351898376030284,0.0069437844631806,0.0181243342878802,0.9851138945668936,0.0055134292711049,1.5102495049952018,0.2165601059602477,0.5191359728801084,3
UFM1,119.0,2000.0,2000.0,0.9963767452326252,0.9752145713036424,0.2569794313197776,0.2006067516516879,0.9927091095596552,0.0026920993194285,0.806688381768597,0.146915964055827,0.2247928406734518,3
UQCC2,83.0,2000.0,2000.0,0.9936242650429395,0.9589522602380652,0.1752399420553921,0.1703870570967642,0.9858448058366776,0.0051913334892376,0.9786797441169176,0.1872750583388569,0.3145084169397245,3
UQCRB,93.0,2000.0,2000.0,0.997038650485125,0.9707394011848504,0.3720833056345417,0.2659355339333352,0.9940617568790912,0.0021719506875951,0.9311511969446687,0.1968741242076087,0.289875185374067,3
UQCRC2,67.0,2000.0,2000.0,0.9963596704126094,0.96733056033264,0.4372243306732278,0.2924357217185938,0.99267802760005,0.0026679635072351,1.0899526455087294,0.213184743635046,0.3647879170188392,3
URB2,189.0,2000.0,2000.0,0.9975661247324455,0.9830665542666388,0.6629767334918345,0.4954437812967367,0.994512565433979,0.0019719914114132,0.6367204240663659,0.115975248086055,0.1556351704265489,3
