condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
VPS72,95,2000,0.9833212804717566,0.9197239542190316,0.051783413753959964,0.0830100877044035
UQCRB,93,2000,0.9969525838696277,0.962384904671396,0.46656284529149566,0.27283685130766644
RBM19,37,2000,0.9875359060196086,0.9273081235840478,0.04930758976270509,0.033008114521908966
RPS5,127,2000,0.9938832502122429,0.9781645849260594,0.8790913936539366,0.8055869702268129
SDC1,170,2000,0.9900698205808176,0.9484061732550086,0.03280227483977761,0.08924585766797623
MTPAP,86,2000,0.967215690509064,0.938150663507058,0.21061070000916646,0.14373650619746023
ARIH1,57,2000,0.9891135056515292,0.9201640827486472,0.09638565972520777,0.06829637515113324
DDX41,259,2000,0.9823021751017706,0.9207313575012542,0.32261988080414067,0.24328286495315338
HSCB,85,2000,0.9808771090322723,0.9224366377516039,0.43185811095199345,0.293670147449854
HNRNPU,73,2000,0.9892542350253947,0.9289419163959712,0.27033338371787474,0.19405603870624155
DAD1,71,2000,0.9895110215522683,0.9219526727181068,0.2286771478491308,0.14957631541064242
MRPS18A,108,2000,0.9950886248362169,0.9624359446094376,0.26856873187546176,0.1742371100818478
POLD2,63,2000,0.993851917858439,0.94988071689562,0.746657829402452,0.5172748415922375
HGS,96,2000,0.9914286266294163,0.9395498316910919,0.49002693055265933,0.35358997363257133
UTP3,27,2000,0.9854446629067681,0.9147089852569846,0.6242464870906768,0.3338460369778538
CENPC,116,2000,0.9942543105084237,0.9488533119196775,0.3965722772551036,0.2416368831054753
RRP7A,40,2000,0.9909565087584825,0.932235468695665,0.6129095591319933,0.3362274583133762
NELFA,82,2000,0.9853197528362442,0.9281132726090802,0.186228862794401,0.10256237882249514
RRN3,38,2000,0.9882454864841604,0.9261753088256128,0.5875465380605667,0.35115986558325035
PSMA6,18,2000,0.9899823597581924,0.9084290683607812,0.6540781941311306,0.44309553160645554
TBL3,70,2000,0.9919909007824953,0.9461767889737798,0.6708997405557041,0.3638939488917579
CWC22,28,2000,0.9862001698836498,0.9058168229523852,0.44562237813191397,0.3370055239203091
PWP2,51,2000,0.9906023477489422,0.939893713770438,0.7183221955157167,0.3768548519632386
PRPF31,23,2000,0.9831874866640975,0.879527766333967,0.6378312644474048,0.5148988967559558
EIF3G,52,2000,0.9877442242583471,0.931598539254092,0.44371127901331536,0.26538053085195945
PGPEP1,51,2000,0.9856104935799022,0.8995456014919622,-0.05239625132776195,-0.04776856002274239
OPA1,53,2000,0.989823220766075,0.9195021797687677,0.1754044303588313,0.09458104823351186
EXOC7,32,2000,0.9657886518454449,0.8562152351309235,0.37214666412809183,0.20848260286730408
BMS1,18,2000,0.9658318444288162,0.8688670152629183,0.03309572557349118,0.005983772063494493
